21:52:52.461 [restartedMain] INFO  c.a.n.client.naming - [registerService,172] - [REGISTER-SERVICE] public registering service DEFAULT_GROUP@@com-dualwings-sales with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.204.1","ipDeleteTimeout":30000,"metadata":{"preserved.register.source":"SPRING_CLOUD"},"port":8081,"weight":1.0}
21:52:52.475 [restartedMain] INFO  c.a.c.n.r.NacosServiceRegistry - [register,62] - nacos registry, com-dualwings-sales 192.168.204.1:8081 register finished
21:52:54.027 [restartedMain] INFO  c.d.s.Application - [logStarted,61] - Started Application in 10.729 seconds (JVM running for 56.314)
21:52:59.606 [RMI TCP Connection(5)-127.0.0.1] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,74] - De-registering from Nacos Server now...
21:52:59.607 [RMI TCP Connection(5)-127.0.0.1] INFO  c.a.n.client.naming - [removeBeatInfo,65] - [BEAT] removing beat: DEFAULT_GROUP@@com-dualwings-sales:192.168.204.1:8081 from beat map.
21:52:59.607 [RMI TCP Connection(5)-127.0.0.1] INFO  c.a.n.client.naming - [deregisterService,194] - [DEREGISTER-SERVICE] public deregistering service DEFAULT_GROUP@@com-dualwings-sales with instance: {"clusterName":"DEFAULT","enabled":true,"ephemeral":true,"healthy":true,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000,"ip":"192.168.204.1","ipDeleteTimeout":30000,"metadata":{},"port":8081,"weight":1.0}
21:52:59.610 [RMI TCP Connection(5)-127.0.0.1] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,93] - De-registration finished.
21:52:59.611 [RMI TCP Connection(5)-127.0.0.1] INFO  c.a.d.p.DruidDataSource - [close,1885] - {dataSource-0} closing ...
21:52:59.612 [RMI TCP Connection(5)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-8081"]
21:52:59.992 [RMI TCP Connection(5)-127.0.0.1] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
21:52:59.998 [RMI TCP Connection(5)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-8081"]
21:53:00.000 [RMI TCP Connection(5)-127.0.0.1] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-8081"]
23:48:06.600 [restartedMain] INFO  c.d.s.Application - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
23:48:08.213 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8081"]
23:48:08.213 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:48:08.213 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.29]
23:48:08.343 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:48:12.176 [restartedMain] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
23:48:12.183 [restartedMain] INFO  c.n.c.s.URLConfigurationSource - [<init>,122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
23:48:15.928 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:48:16.131 [redisMessageListenerContainer-1] INFO  i.l.c.EpollProvider - [<clinit>,68] - Starting without optional epoll library
23:48:16.133 [redisMessageListenerContainer-1] INFO  i.l.c.KqueueProvider - [<clinit>,70] - Starting without optional kqueue library
23:48:17.500 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8081"]
23:48:21.323 [restartedMain] INFO  c.d.s.Application - [logStarted,61] - Started Application in 18.799 seconds (JVM running for 20.171)
23:51:24.236 [Thread-13] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,74] - De-registering from Nacos Server now...
23:51:26.285 [Thread-13] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,93] - De-registration finished.
23:51:26.428 [Thread-13] INFO  c.a.d.p.DruidDataSource - [close,1885] - {dataSource-0} closing ...
